OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Recorming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
189,278,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,ANACORTES,Washington,5,,48,54.5,,,29.5,25.7,105.5,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",48.4944,-122.5625,,-13643597.5394,6189497.8594
190,279,MARTINEZ REFINING CO LLC,PBF ENERGY CO LLC,MARTINEZ,California,5,,101,72,42.9,,31,27.8,262.5,49.3,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.02,-122.111,,-13593336.2327,4582244.7449
191,287,BP-HUSKY REFINING LLC,BP HUSKY REFINING LLC,TOLEDO,Ohio,2,,72.5,55,31.8,,42,11.5,117.5,36,9,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.68,-83.454,,-9290052.6658,5113168.0023
192,288,LIMA REFINING COMPANY,CENOVUS MARKETING (USA) INC,LIMA,Ohio,2,,57,45.3,26,,55,23.2,160,23,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.716,-84.1246,,-9364712.088,4970536.4074
194,297,BP PRODUCTS NORTH AMERICA INC,BP PLC,WHITING,Indiana,2,,276.2,177,,,67,59.9,584.6,102,29.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.6681,-87.4803,,-9738258.8882,5111391.8127
195,300,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,MANDAN,North Dakota,2,,,31.6,,,12.5,5,60.4,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",46.8498,-100.8838,,-11230329.5717,5917597.186
196,301,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,GALVESTON BAY,Texas,3,,259.5,218,164,,146.5,65.5,430,30,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.3747,-94.9335,,-10567943.9812,3423422.9187
197,302,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,SALT LAKE CITY,Utah,4,,,26.5,,,12,8,42,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.7923,-111.9055,,-12457258.2676,4981756.2685
198,308,TOLEDO REFINING CO LLC,PBF ENERGY CO LLC,TOLEDO,Ohio,2,,,82,52,,51.8,10,149.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.6289,-83.5049,,-9295725.1731,5105550.0543
199,309,HF SINCLAIR TULSA REFINING LLC,HF SINCLAIR CORP,TULSA WEST,Oklahoma,2,,32,,,,,0.9,49.6,11,6.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",36.1391,-96.0227,,-10689197.7346,4319782.7852
200,314,TESORO ALASKA COMPANY LLC,MARATHON PETROLEUM CORP,KENAI,Alaska,5,,26,,13,,13.5,5,24.5,,9.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",60.6823,-151.3767,,-16851174.379,8553244.5964
201,317,HF SINCLAIR EL DORADO REFINING LLC,HF SINCLAIR CORP,EL DORADO,Kansas,2,,65,44,,,31,30.5,193,22.5,4,EIA-820 Refinery Capacity Report,"As of January 1, 2023",37.7975,-96.8727,,-10783815.4056,4550854.9142
202,322,HF SINCLAIR PUGET SOUND REFG LLC,HF SINCLAIR CORP,ANACORTES,Washington,5,,65.8,57.9,,,21.7,12.5,130.5,25.3,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",48.4707,-122.5562,,-13642898.6756,6185521.6856
203,329,US OIL & REFINING CO,PAR PETROLEUM INC,TACOMA,Washington,5,,19.2,,,,6.8,5,19.4,,9,EIA-820 Refinery Capacity Report,"As of January 1, 2023",47.2558,-122.3971,,-13625185.7409,5983925.2561
204,333,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,FERNDALE,Washington,5,,48.1,38,,,18.5,15.6,91.3,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",48.8305,-122.6966,,-13658525.0378,6246149.7456
205,335,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,LINDEN,New Jersey,1,,75,145,,,37,22.8,191,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.6359,-74.2224,,-8262394.2075,4958780.9082
206,336,MONROE ENERGY LLC,DELTA AIR LINES INC,TRAINER,Pennsylvania,1,,73,53,23,,50,12,190.6,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.8191,-75.4039,,-8393923.3065,4839695.3339
207,339,VALERO REFINING CO OKLAHOMA,VALERO ENERGY CORP,ARDMORE,Oklahoma,2,,32,30,14,,20.5,7,113,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",34.2044,-97.1018,,-10809322.2632,4056281.0849
208,340,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,COMMERCE CITY EAST,Colorado,4,,8.5,9.5,,,11,,11,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.8018,-104.9447,,-11682391.1221,4837181.1892
209,342,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,RODEO,California,5,,93.2,,69,,34,13.8,27.5,51,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.0435,-122.2556,,-13609434.7008,4585569.0527
210,343,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,WILMINGTON,California,5,,83.4,51.6,27.5,,36.2,35.8,150.7,53.2,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.8109,-118.2435,,-13162803.204,4003432.7962
